[2026-06-01T23:08:40] final audit runner start
[2026-06-01T23:35:18] run top_is_sharpe_n10_icir_beta n=10 method=icir neutralize=beta
[2026-06-01T23:36:37] done top_is_sharpe_n10_icir_beta success=True valid=10/10 sharpe=5.716
[2026-06-01T23:36:37] run top_is_sharpe_n10_icir_market_cap_beta n=10 method=icir neutralize=market_cap_beta
[2026-06-01T23:38:10] done top_is_sharpe_n10_icir_market_cap_beta success=True valid=10/10 sharpe=6.075
[2026-06-01T23:38:10] run top_is_sharpe_n10_ridge_none n=10 method=ridge neutralize=none
[2026-06-01T23:39:50] done top_is_sharpe_n10_ridge_none success=True valid=10/10 sharpe=6.622
[2026-06-01T23:39:50] run top_is_sharpe_n10_ridge_market_cap n=10 method=ridge neutralize=market_cap
[2026-06-01T23:41:16] done top_is_sharpe_n10_ridge_market_cap success=True valid=10/10 sharpe=6.518
[2026-06-01T23:41:16] run top_is_sharpe_n10_ridge_market_cap_regression n=10 method=ridge neutralize=market_cap_regression
[2026-06-01T23:43:00] done top_is_sharpe_n10_ridge_market_cap_regression success=True valid=10/10 sharpe=6.741
[2026-06-01T23:43:00] run top_is_sharpe_n10_ridge_beta n=10 method=ridge neutralize=beta
[2026-06-01T23:44:15] done top_is_sharpe_n10_ridge_beta success=True valid=10/10 sharpe=7.065
[2026-06-01T23:44:15] run top_is_sharpe_n10_ridge_market_cap_beta n=10 method=ridge neutralize=market_cap_beta
[2026-06-01T23:45:42] done top_is_sharpe_n10_ridge_market_cap_beta success=True valid=10/10 sharpe=7.259
[2026-06-01T23:45:42] run greedy_corr_0.3_n10_equal_none n=10 method=equal neutralize=none
[2026-06-01T23:51:24] done greedy_corr_0.3_n10_equal_none success=True valid=10/10 sharpe=5.858
[2026-06-01T23:51:24] run greedy_corr_0.3_n10_equal_market_cap n=10 method=equal neutralize=market_cap
[2026-06-01T23:51:49] done greedy_corr_0.3_n10_equal_market_cap success=True valid=10/10 sharpe=5.932
[2026-06-01T23:51:49] run greedy_corr_0.3_n10_equal_market_cap_regression n=10 method=equal neutralize=market_cap_regression
[2026-06-01T23:52:17] done greedy_corr_0.3_n10_equal_market_cap_regression success=True valid=10/10 sharpe=6.579
[2026-06-01T23:52:17] run greedy_corr_0.3_n10_equal_beta n=10 method=equal neutralize=beta
[2026-06-01T23:52:45] done greedy_corr_0.3_n10_equal_beta success=True valid=10/10 sharpe=6.320
[2026-06-01T23:52:45] run greedy_corr_0.3_n10_equal_market_cap_beta n=10 method=equal neutralize=market_cap_beta
[2026-06-01T23:53:11] done greedy_corr_0.3_n10_equal_market_cap_beta success=True valid=10/10 sharpe=6.509
[2026-06-01T23:53:11] run greedy_corr_0.3_n10_icir_none n=10 method=icir neutralize=none
[2026-06-01T23:54:00] done greedy_corr_0.3_n10_icir_none success=True valid=10/10 sharpe=3.848
[2026-06-01T23:54:00] run greedy_corr_0.3_n10_icir_market_cap n=10 method=icir neutralize=market_cap
[2026-06-01T23:54:53] done greedy_corr_0.3_n10_icir_market_cap success=True valid=10/10 sharpe=4.165
[2026-06-01T23:54:54] run greedy_corr_0.3_n10_icir_market_cap_regression n=10 method=icir neutralize=market_cap_regression
[2026-06-01T23:55:49] done greedy_corr_0.3_n10_icir_market_cap_regression success=True valid=10/10 sharpe=4.399
[2026-06-01T23:55:49] run greedy_corr_0.3_n10_icir_beta n=10 method=icir neutralize=beta
[2026-06-01T23:56:39] done greedy_corr_0.3_n10_icir_beta success=True valid=10/10 sharpe=3.844
