method,pearson_ic,rank_ic,icir,annual_ls,max_dd,n_days,n_factors
ICIR_Weighted,-0.0003919413828542358,0.017485882153794142,0.5169426683546876,0.037328184,0.27436823,970,29
LightGBM_v2,0.05134215699567499,0.05386137701656434,1.334324325526017,1.623172,0.0496282,720,29
